,text,reviewId,city,lan,5D,Reliability,Tangibility,Empathy,Responsiveness,Assurance
5,By far the best ribs & chicken since they closed William's bar b q. 2 thumbs up!!!!,ChdDSUhNMG9nS0VJQ0FnSURCNEluMi1nRRAB,Atlanta,en,Reliability,True,False,False,False,False
7,The staff are really nice,ChZDSUhNMG9nS0VJQ0FnSUREM3J6d2NnEAE,Atlanta,en,Empathy,False,False,True,False,False
9,"I was riding past and the smoke smelled so good I had to stop! I got chicken wings, the guy at the window recommended the beef brisket so I tried it too and it was GOOD af lol. Baked beans and mac n cheese was on point too I’ll definitely be back",ChZDSUhNMG9nS0VJQ0FnSUNkaU95eERBEAE,Atlanta,en,Tangibility,False,True,False,False,False
16,"Just drove in from Mississippi my husband and I googled and found this place… Husband got rib tips.. I wanted whole ribs said it would be 20 mins… Totally worth the wait! Lemonade on point, definitely will be back! Love supporting Black Owned businesses..",ChdDSUhNMG9nS0VJQ0FnSUN1cVpPQjd3RRAB,Atlanta,en,"Empathy, Assurance",False,False,True,False,True
17,Food on point! Great dessert.,ChdDSUhNMG9nS0VJQ0FnSUN1a3RUZXFRRRAB,Atlanta,en,Tangibility,False,True,False,False,False
24,"Very friendly staff, always welcoming.",ChdDSUhNMG9nS0VJQ0FnSUNkNFl2UF9nRRAB,Atlanta,en,Empathy,False,False,True,False,False
32,Outstanding service. Great vibes and the toffee dessert is to die for.,ChZDSUhNMG9nS0VJQ0FnSURELWJHbUdnEAE,Atlanta,en,"Assurance, Empathy",False,False,True,False,True
33,"Overall, we had a good experience! Food was good. My drink was good. Definitely bougie in all areas. Book options were low.. coffee table and cookbooks that were price range from $50 and up. Was wishing to bring home a cozy read for the afternoon. Also, wasn’t super cozy, very corporate buckhead. Could be really good for a business lunch.",ChZDSUhNMG9nS0VJQ0FnSURELXJTNkx3EAE,Atlanta,en,"Tangibility, Empathy",False,True,True,False,False
36,"The servers forgot to bring wine twice, the pace of coursing is super slow (2 hrs after ordering without dessert), and I left hungry after ordering quite a bit. Beautiful space, but the food is lacking. I would recommend coming only for drinks.",ChdDSUhNMG9nS0VJQ0FnSUQ5dU5yYy1nRRAB,Atlanta,en,"Responsiveness, Tangibility",False,True,False,True,False
44,Favorite Ramen place in ATL!!! Must try soo good. Sherlin was a great waitress!!,ChdDSUhNMG9nS0VJQ0FnSUREOHAybG1nRRAB,Atlanta,en,Empathy,False,False,True,False,False
46,Great food great atmosphere great service! Sherlin was extremely friendly and we had a great time!,ChdDSUhNMG9nS0VJQ0FnSUREdkplNjRRRRAB,Atlanta,en,"Empathy, Tangibility, Responsiveness",False,True,True,True,False
47,"Everything was so good. Phong N was very helpful, thank you.",ChdDSUhNMG9nS0VJQ0FnSUNEdzlmQndBRRAB,Atlanta,en,Empathy,False,False,True,False,False
50,The best ramen I've had and nothing is even close.,ChdDSUhNMG9nS0VJQ0FnSUNEdmR6YWpnRRAB,Atlanta,en,Tangibility,False,True,False,False,False
53,"Indonesian food! The taste is very close as it can be to how they are in Indo. Great food, decent prices, friendly staff, great service, nice environment. We will go back!",ChdDSUhNMG9nS0VJQ0FnSUNEM1pHcXlBRRAB,Atlanta,en,"Tangibility, Empathy, Responsiveness",False,True,True,True,False
63,There's tons of donuts in there and it has the special cinnamon iced coffee which I love. It's a modern Dunkin donut and opens early. I personally recommend it before your Marta trip.,ChZDSUhNMG9nS0VJQ0FnSUQ5NGEyMlZnEAE,Atlanta,en,Tangibility,False,True,False,False,False
64,"Went there at 8:30AM this morning. There were two people in line. I go to the “pickup” orders sign to pickup an UberEats order. I wait and no one acknowledges or even looks at me. I then show one of the baristas my phone and say that I’m here for an UberEats order. She looked at me, then proceeded to ignore me..happy to take my business to the Dunkin down the street or any number of other shops in the area instead.",ChZDSUhNMG9nS0VJQ0FnSUQ5Nm9IQ0pnEAE,Atlanta,en,Responsiveness,False,False,False,True,False
83,Favorite smoothies in the city. Love the lounge. The lighting creates a great mood & good balance btwn a place to get laptop/remote work done or have a meeting.,ChdDSUhNMG9nS0VJQ0FnSUR0NF82TndnRRAB,Atlanta,en,Tangibility,False,True,False,False,False
84,"For some reason every single smoothie shop on the planet is remarkably slow, yet this juice shop takes it to an entirely new level. The employees have literally no idea what they are doing, they move around confused and unsure if they are supposed to be making smoothies or simply talking to one another. The parking for the store is super inconvenient and it took 30 mins plus to get 2 smoothies that cost $32!!! Btw, there are only 4 smoothie choices on the menu. Do not come here",ChZDSUhNMG9nS0VJQ0FnSUR0aXAzUFRREAE,Atlanta,en,Responsiveness,False,False,False,True,False
91,"I’m a Colombian arepa expert, and as soon as we walked in we were received with great costumer service. Their arepas were so good we are definitely coming back and telling all my Colombian friends. I ordered the shredded chicken with avocado and spinach, for my side it was kale. I am highly impressed by Phat Yucca.",ChdDSUhNMG9nS0VJQ0FnSURENGNyaGpRRRAB,Atlanta,en,"Empathy, Tangibility",False,True,True,False,False
108,"Ok I won't fault the place for the environment. It is more geared for the younger crowd or someone into a more excitable scene. The music, the hookah, and drinks along with the occasional weed smoking is definitely for a specific crowd. Now when it comes to the food, I give that full 5 stars. I was impressed. I had the lobster sliders with the salmon bites as an appetizer. They were AMAZING. The sauce, ugh I could not stop dipping my fries in. I was drawn to this place because of a Google search and the pictures of the food looked great. Now when you actually try it..... . The chef that day deserves a raise. The bun the lobster sliders were on was not hard, but like crisp and soft. The lobster was not chewy or felt over cooked. It was just right. I highly recommend grabbing a bite from here.",ChdDSUhNMG9nS0VJQ0FnSURkMzdYYV9BRRAB,Atlanta,en,"Reliability, Tangibility",True,True,False,False,False
110,"Love it here! The ambiance is on point as well as food, drinks and service. No complaints at all. I will be returning soon.",ChdDSUhNMG9nS0VJQ0FnSUNqNXU2aHpRRRAB,Atlanta,en,"Tangibility, Reliability, Empathy",True,True,True,False,False
113,sit with sara she was great. def coming back.,ChdDSUhNMG9nS0VJQ0FnSUREbmRDXy13RRAB,Atlanta,en,"Empathy, Responsiveness",False,False,True,True,False
115,Horrible customer service.. My boyfriend and I decided to go to Atlanta for the weekend. We decided to try this place out for dinner. We pulled up to valet and asked where there a dress code. A guy came up to the car and informed us we could stay at least a hour and 10mins due to dress code. We came in and sit down. We noticed several guys with tennis shoes and tshirt on with basketball cap. The food had no flavor. The drinks was weak. The waitress was nice. Never again.,ChdDSUhNMG9nS0VJQ0FnSUREdmNDQXBnRRAB,Atlanta,en,"Empathy, Reliability",True,False,True,False,False
121,Came for a birthday and had a great time. Ask for Sara!!!,ChZDSUhNMG9nS0VJQ0FnSUREMVBhZEZnEAE,Atlanta,en,Responsiveness,False,False,False,True,False
135,"I’ve eaten here a few times and I have NEVER had a bad meal or experience! I choose something different each time and it’s always SO GOOD. Well cooked, well seasoned and the employees are so amazing, on top of things. Love this place and you will too",ChZDSUhNMG9nS0VJQ0FnSUNEaGV1RUV3EAE,Atlanta,en,"Assurance, Empathy",False,False,True,False,True
136,"The Server was great overall but there are some changes that could be made. I was seated by the front door when asked for another seat I was told they were reserved (no one came in). I ordered shrimp tacos ,brussel sprouts, buffalo chicken and mango shrimp. The best part was the Brussels and the mimosa I ordered all of which was organic btw. The mango wasn’t ripe this making the dish taste sour the tacos could have tasted better and the buffalo chicken lollipops were decent as well",ChdDSUhNMG9nS0VJQ0FnSUNEeEtPQzFRRRAB,Atlanta,en,Reliability,True,False,False,False,False
137,"I remember eating here at the very end of 2022. I had the ""Sunflower Loaf"". I'm not a vegan but I will take advantage of veggie options from time to time. I remember being very impressed with the quality of food and flavor. The meal was well flavored and I didn't miss the meat at all. #givingempress",ChdDSUhNMG9nS0VJQ0FnSUNEZ1AzZ3pBRRAB,Atlanta,en,"Tangibility, Empathy",False,True,True,False,False
158,Great. Loved it and I'll be back,ChZDSUhNMG9nS0VJQ0FnSURHNmIzM0tBEAE,Atlanta,en,Assurance,False,False,False,False,True
159,Season,ChZDSUhNMG9nS0VJQ0FnSUM2azRTQlZREAE,Atlanta,en,N/A,False,False,False,False,False
161,"Small nice place, busy, expensive, service was very good, food and portions could be better",ChdDSUhNMG9nS0VJQ0FnSUNqLUk2MG53RRAB,Atlanta,en,"Tangibility, Reliability",True,True,False,False,False
167,Lamb shank was amazing,ChdDSUhNMG9nS0VJQ0FnSUNkeE03aWpnRRAB,Atlanta,en,Reliability,True,False,False,False,False
170,Ehh understaffed. Food was ok. Atmosphere was ok,ChZDSUhNMG9nS0VJQ0FnSUNqdkkzT0d3EAE,Atlanta,en,Responsiveness,False,False,False,True,False
172,My waitress Ali was awesome! The service was great and the food was incredible 🤗,ChZDSUhNMG9nS0VJQ0FnSUNqb09pYklREAE,Atlanta,en,"Empathy, Reliability",True,False,True,False,False
189,"This place is a must to check out, two thumbs up! The staff was very friendly and spoke, the food was amazing((especially the Brussel sprouts)), the atmosphere is great and the service was exceptional!!! Our waitress was Molly and she was so nice, patient and knowledgeable about the menu and drinks!! Me and my guy will definitely be back soon, great date night!",ChdDSUhNMG9nS0VJQ0FnSUQ5bnRTZTFRRRAB,Atlanta,en,"Empathy, Assurance",False,False,True,False,True
194,"Horrendous managment. I came to pick up an order, and Antonio the manager, looks 2 seconds for my order, then proceeds to answer the phone and completly ignore me, as he takes a new order over the phone. I ask if its common practice to skip orders of the people directly infront of him, for people on the phone. He responds by saying I dont have to come back if I dont want too. The owner needs to hear about this because this man will single handedly run your buisness into the ground because he simply does not care about his job, nor the customers.",ChdDSUhNMG9nS0VJQ0FnSUQ5Xy1IaTVBRRAB,Atlanta,en,Responsiveness,False,False,False,True,False
197,"Friendly staff, great food, reasonable prices. I recommend the eggplant Parmesan or the Mediterranean gnocchi depending on your mood. It’s rarely if ever too loud, and has nice indoor and outdoor seating.",ChZDSUhNMG9nS0VJQ0FnSUROMkxYVVpBEAE,Atlanta,en,Assurance,False,False,False,False,True
198,Bruchetta was underwhelming. Tables are too close together.,ChdDSUhNMG9nS0VJQ0FnSUNOOFlHWHlnRRAB,Atlanta,en,Tangibility,False,True,False,False,False
201,Great neighborhood restaurant. Not fine dining; just good food in a non-fussy environment.,ChZDSUhNMG9nS0VJQ0FnSUNGcGRDd0FREAE,Atlanta,en,Tangibility,False,True,False,False,False
203,"On 3/10/24 I ordered from Pricci through Uber Eats and received someone else’s food. My name was written correctly on the bag. However, what was inside and printed on the ticket wasn’t mine. I contacted Uber Eats with pictures and they reached out to the restaurant. Afterwards, I was told that I was ineligible for a refund. I then called Pricci and spoke to Andrew. He said I would have to settle the matter with Uber Eats. I tried contacting Uber Eats again and got the same response. On 3/16/24, I filed a dispute with my bank. As a result, Uber and Uber Eats won’t let me use my accounts until I satisfy the debt. Pricci should've took responsibility for their mistake but chose not to, causing my experience to be the absolute worst. See photos.",ChdDSUhNMG9nS0VJQ0FnSUREcXR2VmpRRRAB,Atlanta,en,Reliability,True,False,False,False,False
224,It's always a great pleasure to dine in the french environment,ChdDSUhNMG9nS0VJQ0FnSUNEMGRfdnF3RRAB,Atlanta,en,Tangibility,False,True,False,False,False
