,text,reviewId,city,lan,5D,Reliability,Tangibility,Empathy,Responsiveness,Assurance
1,"Come and get it!! My first visit. I ordered the rib dinner. Lawd! my rib were tender and moist. Mac and cheese collard greens were perfectly season. I should've ordered another dinner for later. I will return, much love to the owner and team. Everyone was pleasant. Great service.",ChZDSUhNMG9nS0VJQ0FnSURSNGNxdVV3EAE,Atlanta,en,"Empathy, Reliability",True,False,True,False,False
12,I have been going to the BBQ joint every two weeks since a had their ribs. I love the baked beans as well. And their lemonade is the best in Atlanta,ChZDSUhNMG9nS0VJQ0FnSURSMHFfMVhnEAE,Atlanta,en,"Reliability, Tangibility",True,True,False,False,False
26,"Vibrant club...young crowd....overpriced tables and bottles, but ideal for the fake sophisticated...not my vibe.",ChdDSUhNMG9nS0VJQ0FnSUNCaW9laHdRRRAB,Atlanta,en,Tangibility,False,True,False,False,False
31,"This is maybe the best restaurant I've been to in years. It excells in all categories, but especially the food. I'm still craving the omelet. I cook omelets all the time but the technique they use for their omelette just blows me away! No wonder it made the New York Times!",ChZDSUhNMG9nS0VJQ0FnSUNqaXNyblBnEAE,Atlanta,en,Reliability,True,False,False,False,False
40,"Very tasty ramen, although trust them when they say their spicy ramen is hot! The cocktail and drink selection is great",ChdDSUhNMG9nS0VJQ0FnSUNqa1pUb3dRRRAB,Atlanta,en,Tangibility,False,True,False,False,False
45,My favorite restaurant in Atlanta! The spicy tonkatsu is delicious! Best edamame I have ever had in my life. Absolutely love it!! Sherlin was a fantastic server!,ChdDSUhNMG9nS0VJQ0FnSUREOHUyRi1nRRAB,Atlanta,en,Empathy,False,False,True,False,False
70,"My wife and I came to brush for dinner after our wedding. We were excited to try the tasting menu and it did not disappoint. The rice in each roll and nigiri was amazing, the fish fresh and buttery, the service was exceptional and they treated us so well. We really enjoyed our wedding dinner here. Thank you to Brush for making our meal so memorable.",ChdDSUhNMG9nS0VJQ0FnSUNEdFBfZmdnRRAB,Atlanta,en,"Assurance, Empathy",False,False,True,False,True
73,"Putting it mildly, we are foodie food snobs, and we had one of the best meals in a long time at Brush. We came for a special occasion and sat at the bar with Angel, who was a lovely guide to our meal and helped us choose some delicious sake. We began with the dry-aged fish tasting - fresh and delicious. Then we enjoyed both the caviar and o-toro service, both of which exceeded expectations. And finally we ordered the table side wagyu - meat-in-your-mouth delicious. We weren’t sure what to expect, and left satiated and delighted.",ChZDSUhNMG9nS0VJQ0FnSUNkeE5xLVB3EAE,Atlanta,en,"Empathy, Tangibility",False,True,True,False,False
75,amazing atmosphere! chef is very personal and engaging. the overall restaurant and staff is amazing and beautiful. would love to come everyday!!,ChdDSUhNMG9nS0VJQ0FnSUR0bkxPTDBnRRAB,Atlanta,en,"Tangibility, Empathy",False,True,True,False,False
80,"When I first found this place I was head over heels. The juices, the fresh coconut water, and that burger!! 10 out of 10! The esthetic and ambiance is everything! The lounge in the back even had a free Ms pac man machine! And the bean bag is super fun to sit on, my neice loved it!",ChdDSUhNMG9nS0VJQ0FnSUNEaEp6US13RRAB,Atlanta,en,"Tangibility, Empathy",False,True,True,False,False
85,The atmosphere is nice but the bowl was absolutely disgusting. The açaí base was extremely bland and the banana on top was old. Super disappointed in this 15 dollar bowl.,ChdDSUhNMG9nS0VJQ0FnSUMxc28yR2tRRRAB,Atlanta,en,"Tangibility, Reliability",True,True,False,False,False
