,text,reviewId,city,lan,5D,Reliability,Tangibility,Empathy,Responsiveness,Assurance
3,I would leave 0 stars if I could drove 30 mins to find that there closed like why not have the correct information online so unprofessional don’t waste your time & if you still go call 1st to avoid being disappointed!,ChdDSUhNMG9nS0VJQ0FnSURCMWZDYl9BRRAB,Atlanta,en,Reliability,True,False,False,False,False
4,"My first time eating here most definitely won’t be my last!! Food & service was amazing! Everything was hot & fresh! It’s literally a home cooked meal just in a restaurant! I’m looking forward to eating here again! Thanks again! I was hungry so I got the best photo I could, but trust me the photo does the food no justice it really was amazing!",ChdDSUhNMG9nS0VJQ0FnSURCcUxLbDdRRRAB,Atlanta,en,"Empathy, Tangibility",False,True,True,False,False
10,🤢🤮 Nasty... The potato salad taste like nothing but mayo. The ribs was tough. The chicken wings wasn't done. I'll never return here again. Money wasted Mac & cheese was nasty too. Threw the whole plate away. 🤦‍,ChZDSUhNMG9nS0VJQ0FnSURGeXN1aVFBEAE,Atlanta,en,Reliability,True,False,False,False,False
27,I love it here great vibes,ChdDSUhNMG9nS0VJQ0FnSURlZ3NQRjR3RRAB,Atlanta,en,Tangibility,False,True,False,False,False
28,Awesome place to go,ChdDSUhNMG9nS0VJQ0FnSURXMmZieHpBRRAB,Atlanta,en,Tangibility,False,True,False,False,False
38,"I’ve been here for lunch and dinner. Google restricts my review to one meal (at least for photos and menu items) but I’d love to share my experiences of both. My latest visit was for lunch. This is one of the most underrated lunch experiences in Atlanta. The atmosphere is light, airy, casual but elevated/sophisticated. Menu seems unassuming but has some absolute knockouts. Service was also just really enjoyable; I’m not much of a conversationalist but had Caroline at the bar and ended up having one of the best restaurant chats in recent memory, and was guided through the menu for an awesome selection of the omelette, sticky toffee pudding, and coffee. Dinners are more intimate, and a little hard to get a reservation so it’s been tough for my schedule. Unsure how a group reservation would go but can vouch for solo trips and dates, or close 1:1 catch ups. Despite the reservation struggles, I appreciate the smaller seating capacity and streamlined menu. I suppose I’d like more small bite options to pair with the wine because I always end up getting the Jamón Ibérico and would like more meats, but that’s knit pick. I’ll end with a confirmation that the book store element is not a gimmick and not aesthetics only - the curation is so well done. I’ve gotten 5 books as gifts and 2 for myself. Really appreciate this spot. Atlanta could use more spaces like this that execute on the actual food experience as well as they do in the creativity and vibe.",ChdDSUhNMG9nS0VJQ0FnSURkX3N5MnpnRRAB,Atlanta,en,"Tangibility, Empathy",False,True,True,False,False
42,Sherlin was the sweetest! Food was also amazing. Must try!,ChdDSUhNMG9nS0VJQ0FnSUREdkpmNnBnRRAB,Atlanta,en,"Empathy, Tangibility",False,True,True,False,False
52,Great experience here! Major shout out to Sherlin for her exceptional service! Would 100% come back.,ChZDSUhNMG9nS0VJQ0FnSUNEOVl5aWJREAE,Atlanta,en,Empathy,False,False,True,False,False
57,Always great food and drinks and nice service. Definitely recommend the tempura brussels sprouts!,ChZDSUhNMG9nS0VJQ0FnSUM5Mm9UaVRREAE,Atlanta,en,"Reliability, Empathy",True,False,True,False,False
58,I just sat at the drive-through speaker for over 10 minutes without anyone talking to me. I drove up to the window and took me about three minutes to get someone's attention and then they acted like it was my fault that they weren't doing their job. do not recommend this Dunkin' Donuts.,ChdDSUhNMG9nS0VJQ0FnSUNqNGZtUXNnRRAB,Atlanta,en,Responsiveness,False,False,False,True,False
59,Good food good fun in a secure environment.,ChZDSUhNMG9nS0VJQ0FnSUNqZ2ZpZ093EAE,Atlanta,en,Assurance,False,False,False,False,True
