,text,reviewId,city,lan,5D,Reliability,Tangibility,Empathy,Responsiveness,Assurance
6,"You can smell the food before you walk in Mrs Malinda was so nice and generous, definitely coming back. Oh and yes they have All Day Breakfast!!!",ChZDSUhNMG9nS0VJQ0FnSUNCNzVYT1B3EAE,Atlanta,en,"Empathy, Tangibility",False,True,True,False,False
11,"BAYYYBAYYYYYY!!!!! I wanted some BBQ so bad for dinner tonight. I did a quick Google search, stumbled across Slabhouse BBQ truck and they DID NOT disappoint!! I ordered a half slab, wings, Mac n cheese, sweet potatoes, baked beans and potato salad. Everything was good, those ribs though....Lord have mercy! I'll be back!",ChdDSUhNMG9nS0VJQ0FnSURGMExXdTZRRRAB,Atlanta,en,Reliability,True,False,False,False,False
30,"I was thrilled to visit this restaurant for my birthday as it appeared *perfect* for me with the upscale dining experience + books pair. While the service and environment did not disappoint, the food did. It all tasted pretty good, and presented nicely, however the portion sizes were appalling for the prices. The server said the plates are meant to be shared, so we ordered more dishes than we originally intended to. But when you order a plate for $45 and only get three Brussels sprouts to “share,” you feel robbed. After spending more $200 total, we were not even full when we left.",ChZDSUhNMG9nS0VJQ0FnSUNqOXRHU1B3EAE,Atlanta,en,"Tangibility, Empathy",False,True,True,False,False
34,"This experience was underwhelming and expensive for the price. Although it is marketed to be a book store, you can't really look at the books and you're not allowed your laptops at the bar in the case you want to have a drink and work. The hostess wasn't going to seat me at first and then decided she did have an empty seat at the bar for a couple hours and I felt a bit of judgement passed since I was alone. And on that note, bar requires reservations. Food was mediocre and overpriced. It just ultimately seemed like based on how you were dressed and how you looked, you may get better service than others. The bartender however was very nice and knowledgable on wine.",ChdDSUhNMG9nS0VJQ0FnSUREaUo2djlnRRAB,Atlanta,en,Empathy,False,False,True,False,False
37,Walked in to treat myself to a nice cocktail and a small bite. The look of the restaurant is beautiful and intimate. Great for a drink at the bar with a book or for a date. I sat at the bar and the bartender was very helpful with recommending a cocktail and food. She suggested a delicious yuzu cocktail that I had with an amazing custard dessert that was decorated with glazed pears and other fruit. I enjoyed sitting at the bar and talking with the staff who were very helpful on recommending great dishes and delivering excellent service.,ChdDSUhNMG9nS0VJQ0FnSURkOGFiVTN3RRAB,Atlanta,en,"Empathy, Responsiveness",False,False,True,True,False
51,"Food is really good, never knew they had this location. Better the Sandy Springs and on par with Duluth. Sherlin was our server it, she was so sweet.",ChdDSUhNMG9nS0VJQ0FnSUNEOVl5N2xBRRAB,Atlanta,en,Reliability,True,False,False,False,False
60,"Omg I was so excited to try the sparkd drinks. And omg I was so disappointed I loooooove peach flavored drinks and this tasted NOTHING like peach. May be peach soap flavor but no peach fruit flavor. I gave it 3 stars because at least it worked... with the caffeine and all. so disappointed. I feel like I wasted my money on something I have to drink,now, not want to drink. The man at the window was nice though! Sounds like he enjoys his job and is greatful to have a job. Unlike some other fast food restaurants these days.",ChZDSUhNMG9nS0VJQ0FnSUNEdEtmV2RBEAE,Atlanta,en,Tangibility,False,True,False,False,False
66,Love me my Dunkin’,ChdDSUhNMG9nS0VJQ0FnSUM5N091SWlRRRAB,Atlanta,en,Tangibility,False,True,False,False,False
72,Fantastic experience. We will definitely be back. Thomas took great care of us & everything was exceptional,ChZDSUhNMG9nS0VJQ0FnSUM5NjVxemFREAE,Atlanta,en,"Empathy, Assurance",False,False,True,False,True
76,Settled for the Chef’s Tasting over the Omakase due to price. Definitely worth it and gave a nice sample of all the types of fish that was offered. It even came with 2 different dessert samples! Server was great and explained all the dishes that came out. Will be back to try the Omakase later and see what the sushi chef has in store.,ChZDSUhNMG9nS0VJQ0FnSUROM3VfbEx3EAE,Atlanta,en,Empathy,False,False,True,False,False
