text,reviewId,city,lan,original_Index
Great food at a great price generous portions can not go wrong here.,ChdDSUhNMG9nS0VJQ0FnSUNaMVlxM2hBRRAB,New Orleans,en,6168
"I was only in town for a couple of days and was looking for a good sit down pizza place where I could have a drink. This place was perfect, appetizers and pizza were delicious and Berenice gave great service",ChZDSUhNMG9nS0VJQ0FnSUN0ajlHTEdnEAE,Dallas,en,3319
"Cute, low key corner shop. Very chill and the salads surprisingly delicious. Normal SF pricing ($15 per salad), though portion size is a bit smaller than expected. Got the house salad.",ChdDSUhNMG9nS0VJQ0FnSUNENXB1czh3RRAB,San Francisco,en,4726
"The salads are outstanding, thanks to the fact that Davon makes about the best salads I’ve ever had.",ChdDSUhNMG9nS0VJQ0FnSUNkb3VHd25BRRAB,Washington,en,5087
"Delicious Colombian coffee, amazing cakes and wonderful staff!",ChdDSUhNMG9nS0VJQ0FnSUN0ZzQtTXJ3RRAB,Boston,en,1607
"Ordered from the menu, was charged more and told that the prices are almost current. The woman insisted that I pay the new price which wasn't written anywhere and refused to acknowledge the menu price.",ChZDSUhNMG9nS0VJQ0FnSURwcmQyTWRnEAE,San Francisco,en,4712
One of the top choices in the DMV area. All-around service and quality.,ChZDSUhNMG9nS0VJQ0FnSUNqaHVlc0R3EAE,Washington,en,5273
Good food for a great price in SF!,ChdDSUhNMG9nS0VJQ0FnSUNSLWJtT2tnRRAB,San Francisco,en,4753
"Great service, friendly staff, DELICIOUS food! First time at Mixto and it did not disappoint. We went there for dinner and ordered ceviche mixto, birria taco’s and arroz con mariscos. The portions are very generous (two people couldn’t finish a starter, ceviche and a main, took some of it home) and everything is freshly made which makes them very flexible when it comes to food restrictions. I like the dim lighting because it made the dinner feel like date night on a Wednesday. Also, it is located in a quiet neighborhood which gives so much privacy and the time to properly enjoy your food without rushing to empty the table. Will visit them for brunch next time",ChZDSUhNMG9nS0VJQ0FnSUQ5N01iZ1B3EAE,San Francisco,en,4514
Friendly staff and great noodle soup cooked to order.,ChdDSUhNMG9nS0VJQ0FnSUNob19uTnpBRRAB,San Francisco,en,4623
"The serenely decorated space of this restaurant caught our eye. The main attraction was the water cascading down the walls near the private canopies. It was definitely a delight to dine here as the atmosphere was aesthetically pleasing. Our table ordered the King Crab- steamed, with sauces on the side,  okra, Fried Calamari, Rice. The waitress brought out the Crab before it was cooked..I didn't realize how big it was but I got it any way. It was absolutely delicious .  The Okra was perfectly cooked, it still had a little bit of a crisp bite so it wasn't as slimy as you would think. The fried Calamari was cooked perfectly as well, it came with spicy mayo, which we enjoyed as well. I mean even the white rice was good. The customer service was impeccable as well. Overall a great dining experience.  Thank you yo all the staff that assisted us.",ChZDSUhNMG9nS0VJQ0FnSUNhdkkzcUdREAE,New York,en,3968
"Update: Try their very good soup!! Be prepared to wait for your food. Not a quick lunch by any stretch. Allow extra time, or get there early. From the time I got in line to when I received my order of soup and salad — it was over 30 minutes. Pretty good lunch! The soup was very thick, (like stew) and spicy so I added some beef broth I had a my office. Today I tried the chicken salad. Not as good as the beef Barbados I had last time. They still do not have a very mild option on salsa. All of the salsa choices were hot. Still Very busy and seating was hard to come by. The line was about 10 people deep when I showed up just after 12 on a Wednesday for lunch. Employees are friendly but seemed overwhelmed both times. Go outside of lunch hours, if you can. Today I did not feel the food made up for the long wait time. I don’t usually have a full hour for lunch.",ChdDSUhNMG9nS0VJQ0FnSURRX2JhNzFnRRAB,Dallas,en,3173
"These were some of the best empanadas we have ever had! We originally stopped here as part of a food tour. The food was so incredible that we stopped by again for lunch the next day! Everything is made fresh, and there is a quite a variety of empanadas to try! If we're ever back in Dallas, this spot is on our list of must visit!",ChdDSUhNMG9nS0VJQ0FnSUNqekxYbjBnRRAB,Dallas,en,3231
"Salvio's has incredibly delicious food and their service is excellent.  My mom has sent me surprise pizzas at the pharmacy and they write a note from her on the inside of the box.  They deliver it with a smile because they know it's a surprise and I'll probably cry.
Anna delivered mine today and it was delicious as usual.",ChZDSUhNMG9nS0VJQ0FnSUNqMHZPV1BnEAE,Cary,en,2222
Best evening/night crew in drive thru window...funny kids;),ChdDSUhNMG9nS0VJQ0FnSUR0MDRYMGt3RRAB,Dallas,en,3827
The food is good but they had us waiting 2 HOURS for our order. They emailed saying our food was ready for pickup and when we got there we were waiting an hour. The service is horrible! I don’t recommend going there unless you like poor timing and service.,ChdDSUhNMG9nS0VJQ0FnSUMxZ2N2b2xBRRAB,Atlanta,en,715
"This real mexican restaurant has changed its name to Martinez taqueria.
By real mexican restaurant I mean traditional cuisine. It tasted like my grandmother was cooking.
I mentioned to my wife that I felt like having huitlacoche(a mushroom that is harvested from corn) she asked at her work and someone mentioned the restaurant by it's former name.
I had a gordita with chicharrón en salsa verde while waiting for my huitlacoche quesadilla. The gordita was light tasting with a slight crunch  but filled with chicharrón and cotija cheese. The huitlacoche quesadilla was HUGE about 20 inches long filled with cotija cheese, chopped onions and of course tons of huitlacoche. Table side they have salsa roja and salsa verde. I WILL RETURN TO SAMPLE THE REST OF THE MENU!",ChZDSUhNMG9nS0VJQ0FnSUNZcDRtRlNnEAE,Dallas,en,3635
"OMG!! Do you want to talk about a great place to get something to eat from? Well then Lebowski's is the place to go to, my daughter and I went here for lunch and from the moment we walked in it was a vibe! The service was awesome the food was great and we will definitely be back again. I highly recommend stopping by if you ever get the chance to, because the food is definitely a 10 10 10!! Thank you so much for your great atmosphere and hospitality.",ChZDSUhNMG9nS0VJQ0FnSUM5MUs3blZnEAE,Charlotte,en,2518
This is our favorite restaurant in New Orleans!! The Paneed Chicken is DELICIOUS. It is my husband and I's favorite food. The atmosphere is so relaxing and welcoming! The service is always lovely. We can't wait to visit each time we past through!!,ChZDSUhNMG9nS0VJQ0FnSUNqM1A3QlR3EAE,New Orleans,en,6276
"When our large family gathers we like to have sombeody else do the cooking. Lately that somebody has been Bambinelli's takeout. We love the basics here - Chicken and Eggplant Parm with a side of pasta, Calzones, Pizza, Lasagna and especially the large family salads. There is something for everybody on the menu. We gather up our orders and then send a runner over since we live next door in Garden Hills. But we have also used the delivery service and were pleased. We started doing this during the CoVid lockdown and it is one of the few good things to come out of that time. Instead of paying a small fortune to go to a Buckhead restaurant we get great food served with our own beverages around big table at home. Babies get put to bed on time, conversations around the table linger and there always seems to be enough food for leftovers. Bonnie Bambinelli would approve.  Bada Bing.",ChdDSUhNMG9nS0VJQ0FnSURkME5PZHVRRRAB,Atlanta,en,446
Drive Thru was very busy. But food was good,ChdDSUhNMG9nS0VJQ0FnSUNEcS1MbWtBRRAB,Dallas,en,3588
"Checked out some reviews before I went, oh my gosh I can not tell you how much I enjoyed the Catfish. The seasoning was great, big portions, staff was polite I will definitely be back again. Thank you",ChdDSUhNMG9nS0VJQ0FnSUNEdnEzWHdRRRAB,Dallas,en,3343
This was my first time to this restaurant and I was truly impressed with the level of customer service the taste of the food authentic Cajun experience. Menu had a variety healthy and good choices food was very tasty fish and shrimp was cooked to perfection I recommend the the two-piece Croaker West shrimp combo you won't be disappointed.,ChdDSUhNMG9nS0VJQ0FnSUREc3ZDZV9RRRAB,Charlotte,en,2529
"PLEASE it’s not hard to follow directions. Especially when I place an order, I can’t get a whole refund on delivery apps and the mistakes get very costly. Don’t just look at the name of an item when you’re preparing, PLEASE LOOK AT THE INSTRUCTIONS TOO FOR ADD ONS OR SUBTRACTIONS FROM THE ORDER.",ChdDSUhNMG9nS0VJQ0FnSUNwbk5mVXdnRRAB,Boston,en,1235
Very good & fresh food.,ChdDSUhNMG9nS0VJQ0FnSUREc1ltQmpRRRAB,Cary,en,2063
Great BBQ spot,ChdDSUhNMG9nS0VJQ0FnSURPbl92ZHhnRRAB,Atlanta,en,708
Very casual. There was only  1 server. She did an amazing job. There were 5 of us. The beer was cold and the food delicious. First time here for 3 of my brothers. They loved it. We will return!,ChdDSUhNMG9nS0VJQ0FnSUREclBiV3F3RRAB,Atlanta,en,618
"Food was pretty good. Friendly service, fun atmosphere. Theres an outdoor patio.",ChdDSUhNMG9nS0VJQ0FnSURwdEpMcXZRRRAB,Boston,en,1575
"Double Dragon used to be the best but recently, theyve dropped the ball. Food is always late, cold and with the price increase, food amount doesnt equal the price. Its a shame. I was a regular customer but no more. Theyre stingy and food is never consistant anymore. Also their menu prices is designed to make you order more than you should. In this economy, if youre going to charge people more for food then you should serve the right amount of food for it, not just stuff the container with rice and a lil amount of of whatever entre. Shame on you guys.",ChdDSUhNMG9nS0VJQ0FnSUM1azlYTXp3RRAB,New York,en,4384
Awesome food,ChZDSUhNMG9nS0VJQ0FnSUR0MC1hQVhREAE,Charlotte,en,2263
