text,reviewId,city,lan,original_Index
"This is disgusting, I can’t believe no one is doing something about this kind of places where they don’t even clean the wings before cooking
We got feathers",ChdDSUhNMG9nS0VJQ0FnSUROaHI3bXZ3RRAB,Dallas,en,3840
Good as always !!,ChZDSUhNMG9nS0VJQ0FnSURELWNUZ1lBEAE,Atlanta,en,1052
I orderd the new york philly and it was great! However there was like bead hair in the other half of my sandwich….,ChZDSUhNMG9nS0VJQ0FnSUQ5NlBUSENBEAE,Atlanta,en,868
Loveeeee this place the food is sooo good im  hooked on her candy yams real bad lol my favorite late night hidden gem 🥹🫶,ChdDSUhNMG9nS0VJQ0FnSUNEck5pbnlnRRAB,Atlanta,en,267
A must have in this area. Finally healthy fast food. And vegan/vegetarian options too. Friendly service and the salads are tasty too. Macros and other detailed nutritional information is available online too. Really great full for this option.,ChZDSUhNMG9nS0VJQ0FnSUNkbkwzS0h3EAE,Dallas,en,3755
Thank you for vegan options!,ChZDSUhNMG9nS0VJQ0FnSUNEbWFDeWV3EAE,New Orleans,en,6234
Placed order for take out and my order was all wrong so disappointed if this location.,ChdDSUhNMG9nS0VJQ0FnSUNEeV9YTTR3RRAB,Chicago,en,3003
"Went to this restaurant, first time and we had a wonderful experience. The ambiance was great. The decor on the walls and ceiling are classics (Cadillac, motorcycles and a plane-so cool). The food was very good. The waitress Paula was very professional and waited on us on a timely manner and was attentive. The staff was very friendly and we were also greeted by the manager Mercedes, she was amicable and was happy to hear that we enjoyed our experience.",ChZDSUhNMG9nS0VJQ0FnSUREX1BDa0NREAE,Chicago,en,2990
Man the servers made us feel right at home. Music was excellent had everyone dancing. The food was so good very good portions even better as leftovers. The drinks were perfect!,ChZDSUhNMG9nS0VJQ0FnSUQ5Z0xDREl3EAE,New Orleans,en,5484
Just the best,ChdDSUhNMG9nS0VJQ0FnSUNEbTRxUnZnRRAB,Atlanta,en,92
The food is good and the people who work there are really nice and polite. It's my go to when I don't cook.,ChZDSUhNMG9nS0VJQ0FnSURTLTlHM1FBEAE,New Orleans,en,6182
Pizza is amazing wings are delicious great customer service ,ChdDSUhNMG9nS0VJQ0FnSURsNk9MSzN3RRAB,New Orleans,en,6595
