text,reviewId,city,lan,original_Index
"The food was good but the service was sub par. The poor young waitress was the only person working during lunch, she was very slow with our order, she messed up a lot, and we got our appetizers at the same time as the meal not before. I feel like if she had more help the experience would have been much better but the food was good.",ChZDSUhNMG9nS0VJQ0FnSUQ5b3RfQmZBEAE,New Orleans,en,6067
"This place is garbage.  Ordered a tray of party wings for my son's birthday and the wings we picked up were black like fried in very used old oil.  The wings were soggy and tasted like old grease used to fry other food items from last week or last month!
I highly do not recommend this place for catering or for eating.   Always check your food because these culprits think they can get away with whatever they want.  You shouldn't mess with people's food if you do not want bad things said about your measly restaurant.",ChdDSUhNMG9nS0VJQ0FnSUNwdFpuX3hBRRAB,San Francisco,en,4713
The service was AWESOME!!! The staff was also very attractive. Food was delicious. Music and decor are just right. I can't believe it took me so long to check this place out. I'll definitely be back.,ChZDSUhNMG9nS0VJQ0FnSUN0a0lUdFJnEAE,Washington,en,5081
"Little Joe's has consistently made the best pizza in San Francisco, we order delivery every so often and are always delighted by the quality of their food. Sometimes when you call, you'll be put on hold for a couple minutes and that can get annoying, but still, totally worth it.",ChZDSUhNMG9nS0VJQ0FnSUM5MTRlNU1REAE,San Francisco,en,4639
My friend and I came from Shreveport for a convert and me and my friend stopped for lunch here and the food was amazing service by Bella was amazing and she was super attentive. Loved it  here🤗🤗🤗,ChZDSUhNMG9nS0VJQ0FnSUNqLWY2VmRnEAE,Dallas,en,3493
"Excellent Italian food in East Boston, MA.  Warm, welcoming atmosphere with  neighborhood vibe.  Mario, Ursula and family  make this a special little gem. Vitello & Pesce is not to be missed!",ChdDSUhNMG9nS0VJQ0FnSUM5Njd5endRRRAB,Boston,en,1696
"Is a small but very familiar atmosphere, manager great, service can’t ask for more attention  employees very friendly very good. And even better you can  buy outside and bring your favorite  wine.",ChdDSUhNMG9nS0VJQ0FnSUNsd09yazJBRRAB,New York,en,4024
"The best food we had in New Orleans. After consolidating that we were not fans of Creole cuisine, we decided to give it a last shot in this place, given the high ratings. It did not disappoint. I had the shrimps and grits and my husband the Alfredo pasta and they both were delicious. The prawns well marinated in the creole sauce, the grits perfectly cooked in cheese and the side biscuit was to die for. Even our server was lovely and we did not have to wait for food, which arrived within 5-10 minutes. Such a shame it was our last night, otherwise we would have come back",ChdDSUhNMG9nS0VJQ0FnSUNqcnJQUXNRRRAB,New Orleans,en,5841
"Came to subway yesterday. An asian kid was behind the counter. This guy all of a sudden says, “would you like to box with me for a free sandwich”, made a boxing gesture to me, and then proceeded to say “we dont condone violence over here” confidently. It left me in a shock and i snubbed him.

What kind of lunatic hires this subway is making here? Why are you hiring psychos? If this guy is saying that we dont condone violence over here, Is this something that the owner has given guidelines or turned a blind eye to? This was the weirdest experience that I have ever had. You come to eat a meal and some purposeless rando asks you to fight with them.

To this kid, give yourself 10 years, when your male hormones will subside, I would love to check with you if you still want to fight with random strangers and go bankrupt paying settlements.

Btw if the owner doesnt apologize for this, I am going to send the email up the subway mgmt chain. Lets see now how much would this rando cashier would like to box with future customers. This is a lawsuit in making.",ChdDSUhNMG9nS0VJQ0FnSUNaN1BTeHlnRRAB,Cary,en,2211
"Caution, foul language ahead! The Mac n cheese pot roast was fn delicious!

When I travel for work I like to find local food that I can't just get anywhere. Saw this place, saw the Mac n cheese pot roast, and knew that's just what this old fat guy needs!

The place was cozy and the staff was awesome. The prices seemed fair for the area. Things in the Northeast are more 'spensive than they are in the deep south where I'm from.

I definitely recommend Sloane's if you're in the area and get the chance to go. Kudos!",ChdDSUhNMG9nS0VJQ0FnSUR0dGZERWd3RRAB,Boston,en,1122
We came in late night and stopped here for a drink and food. I was very impressed. We shared  the spicy chicken sandwich and gumbo. Both were very good.,ChRDSUhNMG9nS0VJQ0FnSUR4LUtWORAB,New Orleans,en,5458
Great food and clean location.,ChZDSUhNMG9nS0VJQ0FnSUNEOE55Q1NBEAE,Dallas,en,3711
Excellent food and service,ChZDSUhNMG9nS0VJQ0FnSUNqcmVTeFNnEAE,Charlotte,en,2549
"The food at Brennan's was beyond outstanding. We tried a variety of appetizers, entrees and a dessert and everything was elegant and delicious. The atmosphere was up scale and unique and added to the overall experience. Our server was very nice but the service was a bit slow. Overall we were there for 2 hours for brunch. However, we would still definitely recommend!",ChZDSUhNMG9nS0VJQ0FnSUNqM0xESkZBEAE,New Orleans,en,6334
"Walk in they were just looking at me like what! Am like omg I really wanted wings and shrimp but young men need counter etiquette. And also, clean up looks dirty and dark. Do better!
I walk away with no food and not one word just the looks. And I will never go back.",ChdDSUhNMG9nS0VJQ0FnSUN4cE5uSi1BRRAB,New Orleans,en,6484
"Don't go here. Expecting anything mind-blowingly delicious. It's a buffet. But, the atmosphere and service are all second to none. See if you can get a table in the garden outside.",ChZDSUhNMG9nS0VJQ0FnSUNqa2FDMFZ3EAE,New Orleans,en,5878
I ordered thru the postmates app for the first time.  Food was delicious.  I will be back!!,ChZDSUhNMG9nS0VJQ0FnSUROMlo3cFpREAE,Charlotte,en,2266
"This food was delicious,  seasoned to perfection.",ChZDSUhNMG9nS0VJQ0FnSUNEM2Jxd1RnEAE,Atlanta,en,1024
The girl that takes the orders has the absolute worst attitude - she acts like she’s paying for the food. The food is rushed and tasteless. She must be related to the owner because she has a real entitled attitude towards patrons. If she feels she is beneath the community she serves this is not the place for her or the establishment.,ChdDSUhNMG9nS0VJQ0FnSUQxd0t5TjNRRRAB,Boston,en,1240
Can not expand & there's no ramp for hamdicap,ChZDSUhNMG9nS0VJQ0FnSUM5XzViVFJBEAE,Boston,en,1465
Crowded little eatery that serves up some of the best Thai and Chinese food around.,ChdDSUhNMG9nS0VJQ0FnSUNqekktYXR3RRAB,Atlanta,en,250
"Excellent!  Recommend to all!   Bad pic, sorry.",ChdDSUhNMG9nS0VJQ0FnSUREdWZYajlnRRAB,Cary,en,2043
"I ordered take out and took the bake Ziti.  The pasta is a bit under cooked and it wasn’t that flavorful.

Not sure if I’d recommend, but for me it wasn’t memorable.",ChdDSUhNMG9nS0VJQ0FnSUNEdjdmdG5BRRAB,Atlanta,en,545
The staff were very courteous,ChZDSUhNMG9nS0VJQ0FnSUNWbWI3Rkd3EAE,New York,en,4196
"Went for my birthday and it was absolutely amazing! Incredible staff, food, and ambiance",ChdDSUhNMG9nS0VJQ0FnSUNqcHJhbThnRRAB,Cary,en,1910
Horrible Mexican restaurant!!! If I could give zero Stars I would! I got a shrimp fajita and the shrimps were not even cooked!!! all the food had no flavor! Don't come to this place...I don't recommend this restaurant!🤢🤮,ChdDSUhNMG9nS0VJQ0FnSUM5Nl9xQzRnRRAB,New York,en,4141
"Nice atmosphere.  The drinks were fancy.  I did not love my drink, but they were strong. I had drinks at the bar.",ChZDSUhNMG9nS0VJQ0FnSUNqb2R5UUF3EAE,New Orleans,en,5523
"Just an update they charged the card about 3 times in the end and we had to dispute, no apology for trying to charge us almost $300 . All the locals will tell you to avoid these places i agree, ask for local favorites and take an uber or wall or trolly all easy and fun.  Get your souvenirs from the french quarter not your food, eat local.  Edited review since we left and came home after checking the credit card not only did they build us twice for the wrong dinner that was 2 times as much money as our meal was but they also charged us for a meal as well Do not go here they will rip you off and they assured us that our credit card was going to get fixed.......  If you want good food there are so many places outside of the French quarter go to magazine street go to city center go to garden district anywhere but the French quarter right now.....This was my first review after leaving that evening and being told R meal was going to get charged correctly.....Food was ok per french quarter standards and have us wrong bill and the run around when they took another card for our meal, not ok. Your better off at popeyes",ChZDSUhNMG9nS0VJQ0FnSUNEcU0tRFd3EAE,New Orleans,en,5354
Always good hot food. They need to stop making the drinks before you order because the soda is watered down after you drive up.,ChdDSUhNMG9nS0VJQ0FnSUNEMW8tZ29RRRAB,Dallas,en,3650
