text,reviewId,city,lan,original_Index
"I am saddened that I have to give this restaurant a poor rating because the customer service was excellent. The young lady at the counter was very polite and professional. However, the rib sandwich that I ordered was absolutely terrible. The ribs were small they were dry and hard for the price that I paid $10.89. I got three very small bones. So the rating that I’m given is not for the customer service it is most definitely a rating of a 2 rating of 1 to 10 on the item and a 10 on the Customer service. This was my first time so I do plan to revisit to try one of the other items to give it a second chance. However, after this time if the item isn’t good I will not go back.",ChdDSUhNMG9nS0VJQ0FnSURsaTdYY3dBRRAB,Atlanta,en,0
Don't wait late will run out. Good smoked meat,ChdDSUhNMG9nS0VJQ0FnSUNlek0zbHpRRRAB,Atlanta,en,15
"I live on this side of town and have never tried Stems so I decided to try it out while supporting a black owned business. I ordered the 3 wing breakfast ($11.50 + tax) and a side salmon patty ($5 + tax).

3 wing breakfast: OK - comes with grits and eggs (scrambled), with choice of toast or biscuit. Eggs were light and fluffy but, grits were undercooked and very ""gritty"" along with 3 very small lightly seasoned wings.

Salmon: Horrible - appears to be a precooked frozen patty which was spicy and dry. Definitely not like any fried Salmon patty I've ever had.

All in all, the staff was friendly but I didn't care for the food bought today. I may try other dishes in the future.",ChdDSUhNMG9nS0VJQ0FnSUREMElEaHdBRRAB,Atlanta,en,18
"A beautiful restaurant with absolutely wonderful food and attentive service. We have been going to WIN for a number of years and have always enjoyed our experience and meals. Over the years the menu has changed but the quality of the food has remained consistently high, delicious, and interesting. They offer wonderful coffees and delicious drinks, the Kuno Fashioned being a must try!",ChdDSUhNMG9nS0VJQ0FnSUNEcXJTVF93RRAB,Atlanta,en,55
The crew here is delightful! Courteous and friendly!,ChZDSUhNMG9nS0VJQ0FnSUQ5dTUtc2ZnEAE,Atlanta,en,62
"Had a wonderful experience here. We had 16 course omakase tasting, and added few additional pieces right before desserts. Every single course was beautiful and delicious. Especially the design of plates/objets went perfect with each piece. For some of them, I felt like I was looking an contemporary art! Chef was super professional(Sorry I forgot to ask your name, you were the best) and provided enough(but not too complicated) explanations for us.

For drinks, welcome drink was amazing lovely. Crafted cocktail was bit strong and too flavourful to me. Not balanced. I also ordered sake flights, which was the best choice. Portion of sake was not much, nor
little. Server explained/recommended each sake and told us which sake would go well for each dish. We told them we're celebrating PHD defense, and they put small congrats graduate decor for our dessert. Gift after the course was also quite impressive - a sweet treat and teabag. We had to wait about 20 minutes because other people came late, but I was not angry as the chef/server explained and apologized enough.

Overall satisfied. Definitely will come again to try 25 course.",ChZDSUhNMG9nS0VJQ0FnSUNEc28zUFR3EAE,Atlanta,en,69
"The atmosphere was really nice and laid back.  Their service was amazing and very professional.  We ordered the “Purple Moon” Açaí Bowl Smoothie.  Sorry, after I realized I should’ve taken a picture, it was all gone.  YUMMY

This place is also great for friends who are vegan.",ChZDSUhNMG9nS0VJQ0FnSURELTlITU93EAE,Atlanta,en,78
"Ebony  was our waitress! Beautiful woman. Great personality and great service! Music was good. Played music for all adult ages! But Dj could get more personality.  Rooftop was spacious and great crowd not to crowded just right to dance, eat and enjoy",ChdDSUhNMG9nS0VJQ0FnSUREOTdmQ3p3RRAB,Atlanta,en,102
"Food was just ok. Drinks were not as strong as the price would have you think. Valet only parking so I would uber here, if you can. Apparently sometimes there is a cover fee to get in - I definitely would not pay that...seems like this place attracts more of an older crowd.",ChZDSUhNMG9nS0VJQ0FnSURkaUtfSkdBEAE,Atlanta,en,109
"sat with sara, the sweetest girl. food was good, music was good, coming back for my birthday. def come see pasha!!!",ChZDSUhNMG9nS0VJQ0FnSUREblliN0pnEAE,Atlanta,en,117
