text,reviewId,city,lan,original_Index
This place all around just trash,ChZDSUhNMG9nS0VJQ0FnSURENEkzU2ZnEAE,New Orleans,en,6566
"I feel my food was rushed cooked and wasn’t prepared right and this is why I ordered Nandocas Choice, it’s a chicken sandwich which is supposed to come with coleslaw on it, & they didn’t put any coleslaw on the sandwich,  the sandwich was so dry even with the peri-peri sauce, it shocked me because I never headed it that way, this was a horrible eating experience, I couldn’t even enjoy my food. I guess it’s better when you eat in and you can catch the mistakes faster.",ChZDSUhNMG9nS0VJQ0FnSUQyOXZMUURnEAE,Washington,en,5260
"Excellent ambience, food and service. Very quick to serve, good food (including desert), the neighborhood looks nice too.",ChdDSUhNMG9nS0VJQ0FnSUNkNmRPYnB3RRAB,Charlotte,en,2638
"Had a 5:30pm reservation, didn’t get our appetizer until a half hour later, sat for an hour and and a half without our third appetizer, or entrees, had to leave due to another commitment never thinking a dinner would consume two hours of our evening. All the while them pushing us to get more drinks. My advice is to skip New Orleans all together. Bunch of scum bags over here.",ChdDSUhNMG9nS0VJQ0FnSUREM2E2R3RRRRAB,New Orleans,en,5497
I just didn't care for it at all. The fries were cold and disgusting and the wings were mediocre at best. ugh 🤮,ChZDSUhNMG9nS0VJQ0FnSUMxOGZYS09REAE,Atlanta,en,330
"I only go for soup coco bread/beef patties and ice cream and it's good..but today I went right before noon and got a patty with cocoa bread and cheese and the cocoa bread was definitely stale the cheese was just placed on the bun instead of inside the patty which would have been just luscious you know.. I don't know what happened today hopefully it's just a day and they'll be better tomorrow

Update 9/9/21
I went to get a patty coco bread and cheese.. I was second guessing because I didn't want to have the same experience..but I didn't and It was good.. I also realized that the person who heated up my previous patty overheated it #dontdothat
Never again.. 4-4-24
Ordered chicken soup.. we t I went to taste it all I taste is spice but that wasn't the real issue. The fact that I received a pea sized piece of chicken made me upset.. especially after spending 7.00 bucks.. I called and told a womeuthe issue,she was nice.. told me to bring it back & so I did. When I got in my car I opened it and was even more disappointed  I don't even know if it was chicken she gave me (I'll post Pic when I'm able) just horrible.. the food game is going down fast..if the Passion is gone #retire",ChZDSUhNMG9nS0VJQ0FnSUM2dlBUckdBEAE,Boston,en,1360
"Very nice and patient service.  Excellent tasty food and very  good price.  I got a bowl of salad base with chicken and beef, plus kimchi and it's a great combo.",ChZDSUhNMG9nS0VJQ0FnSUREeU43NE53EAE,Washington,en,5100
"Jake, the bartender, was super friendly and greeted us with a special refreshing lemon and cucumber vodka or gin concoction for our anniversary at the bar to start. Shaq was an amazing server and gave us great food recommendations. He had a great attitude. Jessie brought us a trio of focaccia bread that was too die for to start. These 3 made us feel very important and filled our evening with their warm smiles and positive attitudes. The fresh ravioli seafood pasta inspired by Venice is what I really enjoyed. It was mouth watering. For dessert, the chocolate bombe, tiramisu and coffee copa ice cream were all so yummy. I can't wait to eat here again the next time I visit Atlanta.",ChZDSUhNMG9nS0VJQ0FnSUNEalpETkp3EAE,Atlanta,en,205
"Shrimp ceviche excellent, pulpo delicious nice size portion. Steaks overcooked. $185 total with 25 per cent tip.",ChdDSUhNMG9nS0VJQ0FnSUQ5Ml83SW5RRRAB,New York,en,4429
"I can’t even explain in words how rude, unprofessional and just out right stupid these people and company is…. There is more to say but I trying to vent through walking back home with this trash food",ChZDSUhNMG9nS0VJQ0FnSURwNmVlNE93EAE,New York,en,4365
